Question,Option,Answer,Pred_ans,Explanation
"14. A resides at Hyderabad, B at Calcutta and Cat Delhi. A, B and C being together at Allahabad, B and C make a joint promissory note payable on demand, and deliver to A. A may sue B and C:","['a) At Allahabad where the cause of action arises.', 'b) At Calcutta, where B resides.', 'c) At Delhi, where ""C"" resides.', 'd)  All of the above.']",D,d) All of the above.,"As per the provisions of the Civil Procedure Code, 1908, A can sue B and C at any place where the cause of action has arisen or where the defendants reside."
"15. Section 25 empowers the supreme court to transfer any suit, appeal or other proceeding","['a) From one High Court to another High Court.', 'b) Form one civil court in court in one state to another civil court in any other state.', 'c) Both (A) and (B)', 'd) Only (A)']",C,c) Both (A) and (B).,"Section 25 of the Civil Procedure Code, 1908, empowers the Supreme Court to transfer any suit, appeal, or other proceedings from one High Court to another High Court and from a Civil Court in one State to a Civil Court in another State."
"16. In which of the following cases, can C set -off the claim?","[""a) A sues Con a bill of exchange for Rs. 500, C alleges that A has wrongfully neglected to insure C's goods and he is liable to pay compensation."", 'b) A sues Con a bill of exchange for Rs.500, C holds a decree against A for recovery of debt of Rs. 1000.', 'c) A sues B and C for Rs. 1000, the debt is due to Calone by A.', 'd) A and B sues C for Rs. 1000, the debt is due to C by alone.']",B,"b) A sues C on a bill of exchange for Rs.500, C holds a decree against A for recovery of debt of Rs. 1000.","Set-off is a legal claim that allows one party to counterclaim or deduct from the damages it owes to the claimant. Here, C holds a decree against A which is more than the amount that A is claiming, thus C can set-off the claim."
17. The Latin word 'Res Ipsa Laquitur' means:,"[""a) Things speaks it's story itself."", 'b) Where there is consent there is noinjury.', 'c) Both (a) and (b)', 'd) None of the Above']",A,a) Things speaks it's story itself.,"""Res Ipsa Loquitur"" is a Latin phrase that means ""the thing speaks for itself."" It is a doctrine of law that infers negligence from the very nature of an accident or injury, without direct evidence of how any defendant behaved."
18. In which of the following cases the 'Principal of common Employment' was evolved for the first time ?,"['a) Rylands Vs Fletcher', 'b) Priestley Vs Fowler', 'c) Ashby Vs White', 'd) Wagon Vs Mound']",B,b) Priestley Vs Fowler.,"The principle of common employment, also known as the ""fellow servant rule,"" was first evolved in the case of Priestley v. Fowler in 1837."
19. Disciplinary Committee of Bar Council is Conferred the powers of Civil Court under code of Civil Procedure 1908 by,"['a) at Section 36 of Advocates Act 1961', 'b) Section 42 of Advocates Act 1961', 'c) Section 42 A- of Auvocates Act 1961', 'd) Section 28 of Advocates Act 1961']",B,b) Section 42 of Advocates Act 1961.,"This section confers the Disciplinary Committee of the Bar Council with the same powers as are vested in a civil court under the Code of Civil Procedure, 1908."
20 Which one of the following is a leading case on 'Injuria Sine Damnum' ?,"['a) Rylands Vs Fletcher', 'b) Ashby Vs White', 'c) Donougue Vs Stevension', 'd) All of the Above']",B,b) Ashby Vs White.,"This is a landmark case on the principle of 'Injuria Sine Damnum', where there is an infringement of an absolute private right without any actual loss or damage. The plaintiff is entitled to compensation."
21. Which one is leading case on Strict Liability?,"['a) Alen Vs Flood', 'b) Rylands Vs Fletcher', 'c) Borhil Vs Young', 'd) Donougue Vs Stevension']",B,b) Rylands Vs Fletcher.,"This case is a leading case on the principle of strict liability, which states that a person who keeps hazardous substances on their land will be held responsible if such substances escape and cause damage."
22. Section 66A was invalidated by the Supreme Court of India in:,"['a) Anvar P.V. Vs P.K. Basheer, (2014)10 ScC 473.', 'b) Shreya Singhal Vs Union of India, AIR . -2015SC 1523.', 'c) Dr. Prafulla Desai Vs State of Maharashtra, AIR 2003 SC 2053.', 'd) State (NCT of Delhi) Vs Navjot Sandhu, (2005) 11 Scc 600.']",B,"b) Shreya Singhal Vs Union of India, AIR . -2015SC 1523.","In this case, Section 66A of the Information Technology Act, 2000 was invalidated by the Supreme Court of India on the grounds of violating the freedom of speech and expression."
23. Environmental impact assessment (EIA) is uatory under,"['a) Indian forest act', 'b) Air act', 'c) Wildlife protection act', 'd) Environment protection act']",D,d) Environment protection act.,"Under the Environmental Protection Act of 1986, Environmental Impact Assessment (EIA) is mandatory for certain development projects."
"24. When two or more person, by fighting in a public place disturb the public the public peace, they are said to commit:","['a) A riot', 'b) An affray', 'c) An assault', 'd) None of the above']",B,b) An affray.,"As per the Indian Penal Code, when two or more persons, by fighting, disturb the public peace in a public place, they are said to commit an affray."
"25. Promotion of ""class hatred' in given under:","['a) Section 153-A of the I.P.C', 'b) Section 153-AA of the I.P.C', 'c) Section 153-B of the I.P.C', 'd) Section 144-A of the I.P.C']",A,a) Section 153-A of the I.P.C.,"This section of the Indian Penal Code deals with the promotion of disharmony or feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities."
26. The distinction between section 299 and 300 was made clear by:,"['a) Reg Vs Gorachand Gopee', 'b) RegVs Govinda', 'c) Govinda Vs Reg', 'd) Reg Vs Hayward']",B,b) Reg Vs Govinda.,This case elucidated the distinction between culpable homicide (section 299 IPC) and murder (section 300 IPC).
27. Which of the following is not a Federal feature of any Constitution,"['a) Written Constitution', 'b) Double set of Government', 'c) Rigid Constitutional', 'd) Single Citizenship']",D,d) Single Citizenship.,"In a Federal system, there is typically dual citizenship (e.g., United States), which is a feature not shared by all federal systems, such as India that has a single citizenship feature."
"28. Parliament in exercise of its power to amend under Article 368, may not amend","['a) Preamble', 'b) Fundamental Right', 'c) Supreme Court', 'd) Basic statement']",D,d) Basic statement.,"The term ""basic statement"" is not a constitutional term, and the Indian Parliament can amend any part of the Constitution including the Preamble and Fundamental Rights, subject to the condition that the amendment does not alter the basic structure of the Constitution."
"29. Which article starts with ""Subject to public order, morality & health"".","['a) Article 14', 'b) Article 15', 'c) Article 28', 'd) Article 25']",D,d) Article 25.,"Article 25 of the Indian Constitution, which guarantees freedom of religion, starts with ""Subject to public order, morality, and health...""."
30. Section 19 of the Hindu Adoption and Maintenance Act 1956 provides for the Maintenance of:,"['a) Wife', 'b) Parents', 'c) Widowed daughter-in-law', 'd) Children']",C,c) Widowed daughter-in-law.,Section 19 of the Hindu Adoption and Maintenance Act 1956 provides for the maintenance of a widowed daughter-in-law by her father-in-law.
"31. Section 30 of the Hindu successions Act, 1956 deals with:-","['a) Woman estate', 'b) Testamentary Successions', 'c) Male Successions', 'd) Female Successions']",B,b) Testamentary Successions.,"Section 30 of the Hindu Succession Act, 1956 allows any Hindu to dispose of their property by will or testament according to their wish."
32. Which one of the following sections of Cr.P.C deals with examination of person accused of rape by medical practitioner.,"['a) Section 54-A', 'b) Section 55-A', 'c) Section 53-A', 'd) Section 60-A']",C,c) Section 53-A,"According to this section, when a person is arrested on a charge of committing an offense of rape, the medical examination can be conducted by a registered medical practitioner."
33. According to section 167 of the Cr.P.Can accused person can be remanded to police custody for not more than.,"['a) 7 days at one time', 'b) 30 days at one time', 'c)15 days at oneximg', 'd) 60 days at one time']",C,c) 15 days at one time,"As per Section 167 of the Cr.P.C, the police can seek remand of an accused in custody up to a maximum of 15 days in the whole from the commencement of the investigation."
"34. Which of the following is essential for a valid adoption under the Hindu Marriage Act, 19552","['a) Datta homam', 'b) Actual giving and taking of child', 'c) Both (a) and (b)', 'd) None of the Above']",B,b) Actual giving and taking of child,"The Hindu Adoptions and Maintenance Act, 1956, Section 11(iv) states that an adoption shall be complete and binding if and when the actual giving and taking of the child has taken place. Datta Homam is not necessary as per the 1956 Act."
"35. Hindu male can adopt a female child, if the difference of age between the two is of more than","['a) 15 years', 'b) 18 years', 'c) 20 years', 'd) 21 years']",D,b) 21 years,"As per Hindu Adoption and Maintenance Act 1956, there must be a difference of 21 years between the adopter and the adoptee in case of opposite sex."
36. Which of the following relations is not dependent under Section 21 of the Hindu Adoption and maintenance Act 1956?,"['a) Grand Mother', 'b) Mother', 'c) Widow', 'd) Daughter']",A,a) Grand Mother,"Under the Hindu Adoption and Maintenance Act 1956, grandmother is not listed as a dependent in Section 21."
"37.A communication made to the spouse during marriage, under section 122 Indian evidence act-","['a) Remains privileged even after dissolution of marriage', 'b) Does not remain privileged after dissolution of marriage only by divorce', 'c) Does not remain privileged after dissolution of marriage only by death', 'd) Does not remain privileged in both the case (b) and (c)']",A,a) Remains privileged even after dissolution of marriage,"According to Section 122 of the Indian Evidence Act, the communication between married persons is regarded as privileged and cannot be disclosed without the permission of the person who made it, even after dissolution of marriage."
38. Which section of the Indian Evidence act provides that an accomplice is a competent witness,"['a) Section 114 illustration (B)', 'b) Section 118', 'c) Section 133', 'd) Section 134']",C,c) Section 133,"It states that an accomplice shall be a competent witness against an accused person, and a conviction is not illegal merely because it proceeds upon the uncorroborated testimony of an accomplice."
39. Which is the subject matter of neighboring rights protection-,"['a) Performance', 'b) Dramatic work', 'c) Geographical indication', 'd) New varieties and plant']",A,a) Performance,"Neighboring rights protection often refers to rights related to the public performance of music, such as those of performers, producers, and broadcasting organizations."
40. Adam Smith has enumerated cannons of taxation which are accepted universally,"['a) Equality and Certainty', 'b) Equality, convenience and Economy', 'c) Equality and Economy', 'd) Equality, Certainty, Convenience and Economy.']",D,"d) Equality, Certainty, Convenience and Economy",These are the four canons or principles of taxation propounded by Adam Smith.
41. For the first time in India Income tax law was introduced by Sir James Wilson in the year:,"['a) 1886', 'b) 1858', 'c) 1860', 'd) None of the Above']",C,c) 1860,Sir James Wilson introduced the Income Tax Act in India for the first time in the year 1860.
42. Which one of the following sections of Cr. P.C deals with compoundable offence?,"['a) Section 319', 'b) Section 320', 'c) Section 321', 'd) Section 324']",B,b) Section 320,"Section 320 of the Criminal Procedure Code, 1973 provides for compounding of offences."
43. What is the time limit under section 468 of Cr. P.C for taking cognizance:,"['a) One year', 'b) Two year', 'c) Three year', 'd) No limit']",C,c) Three year,"According to Section 468 of the Cr.P.C, the court cannot take cognizance of an offense after the expiry of the period of limitation which is 3 years for offenses punishable with fine only."
44. 'Industrial establishment' means- i) A factory ii) Amine iii) A plantation iv) An industry,"['a) (i), (ii) , (iii), (iv)', 'b) (i), (ii), (iii)', 'c) (i) and (ii)', 'd) Only (i)']",B,"b) (i), (ii), (iii).","As per the Industrial Disputes Act, 1947, ""industrial establishment"" means a factory, a mine, and a plantation."
45. Strike should be called only! least.........percent of workers are in support of strike.( Fill in the blank).,"['a) 10', 'b) 15', 'c) 20', 'd) 25']",B,b) 15,"The correct answer depends on the specific legislation or rules in place, as this can vary. In India, as per the Industrial Disputes Act, 1947, there is no minimum percentage of workers required to support a strike. Rather, notice must be given at least two weeks in advance, and the strike must not violate certain other conditions. Please cross-check with the most recent and relevant legal guidelines."
46. Industrial relations cover the following area(s) i) Collective bargaining ii) Labour legislation iii) Industrial relations training iv) Trade unions,"['a) (i)', 'b) (i) and (i)', 'c) (i), (i) and (ii)', 'd) (i) , (ii) , (ii) and (iv)']",C,"d) (i), (ii), (iii), and (iv).","Industrial relations cover all aspects of the employment relationship, including collective bargaining, labour legislation, industrial relations training, and trade unions."
47. The term 'Suit of a Civil Nature' refers to:,"['a) Private rights and obligations of a citizen.', 'b) Political, social and religious question.', 'c) A suit in which principal question relates to caste or religion.', 'd)All of the above']",A,a) Private rights and obligations of a citizen.,'Suit of a Civil Nature' essentially refers to disputes arising out of private rights and obligations.
48. The rule of res Sub- Judice Implies:,"['a) Where the same subject matter is pending is a court of law for adjudication between the same parties, the other court is barred to entertain the case so long as the first suit goes on.', 'b) Where the same subject matter is pending in a court of law for adjudication between the different parties, the other court is barred to entertain the case so long as the first suit goes on.', 'c) Where the different subject matter is pending in a court of law for adjudication between the same parties, the other court is barred to entertain the case so long as the first suit goes on.', 'd) None of the above']",A,"a) Where the same subject matter is pending is a court of law for adjudication between the same parties, the other court is barred to entertain the case so long as the first suit goes on.",The doctrine of res sub-judice prevents courts from trying the same issue in simultaneous suits.
49. A suit brought by a person to recover possession from a stranger of matth property claiming it as heir of the deceased Mahant. The suit is dismissed on his failure to produce the succession certificate. A second suit was filed by him . as manager of the math.,"['a) The second suit would be barred by Res Judicata', 'b) The second suit would not be barred by Res Judicata', 'c) The second suit would be barred by Res sub Judicae', 'd) None of the above']",B,b) The second suit would not be barred by Res Judicata.,"the plaintiff's capacity in filing the suit has changed, from heir to manager, thus the principle of Res Judicata does not apply."
50. Which among the following is not an ADR  method under section 89 of CPC,"['a) Mini Trial', 'b) Judicial settlement through lok adalat', 'c) Conciliation', 'd) None of the above']",A,a) Mini Trial,"Under Section 89 of the Civil Procedure Code (CPC), there are four recognized methods of Alternative Dispute Resolution (ADR): Arbitration, Conciliation, Judicial settlement including settlement through Lok Adalat, and Mediation. Mini Trial is not one of them."
51. What is the maximum number of Conciliators allowed in a conciliations proceeding;,"['a) 1', 'b) 2', 'c) 5', 'd) None of above']",D,b) 2,"Under Section 64 of the Arbitration and Conciliation Act, 1996, the number of conciliators shall not be more than two."
52. What is the status of a settlement agreement in conciliation proceed:,"['a) Non -binding', 'b) same as a settlement award', 'c) Unlike a settlement award', 'd) None of the above']",B,b) same as a settlement award,"As per Section 74 of the Arbitration and Conciliation Act, 1996, the settlement agreement has the same status and effect as an arbitral award on agreed terms."
"53. Under section 118 of the India act, a person in a competent witness if he or she","['a) a major', 'b) not lunatic', 'c) is not of extreme old age', 'd) is capable of understanding questions put to him and giving rational answers Irrespective of age']",D,d) is capable of understanding questions put to him and giving rational answers Irrespective of age,"Under Section 118 of the Indian Evidence Act, there is no particular age bar to be a competent witness. The person must understand the questions and should be able to provide rational answers."
54. Which of the following Judgment is irrelevant under section 43 of Indian evidence act,"['a) Judgement of an insolvency count', 'b) judegment of criminal court', 'c)  Judgement of matrimonial court', 'd) Judgement of probate court']",B,a) Judgement of an insolvency court,"Section 43 of the Indian Evidence Act states that irrelevant judgments do not affect decisions in subsequent proceedings. The judgment of an insolvency court isn't specifically mentioned as irrelevant, but it does not ordinarily influence the decision in subsequent proceedings."
"55. Under which section of the Indian evidence act a witness has been given right to refresh his memory,","['a) Section 157', 'b) Section 158', 'c) Section 159', 'd) Section  160']",C,c) Section 159,"As per Section 159 of the Indian Evidence Act, a witness may refresh his memory by referring to any writing made by him at the time of the transaction concerning which he is questioned."
"56. ""Mandamus"" May be issued by","['a) Supreme court', 'b) High court', 'c) District court', 'd) Both a & b']",D,d) Both a & b,"The writ of Mandamus, which commands a person or body to perform a public or statutory duty, can be issued by both the Supreme Court and High Courts."
57. The provision for administration tribunals Is added by,"['a) 42nd  Amendment', 'b) 44th Amendment', 'c) 24th Amendment', 'd) 43rd  Amendment']",A,a) 42nd Amendment,The provision for Administrative Tribunals was added by the 42nd Amendment to the Constitution of India in 1976.
58. The provision relating to free legal aid is given under,"['a) Section 301', 'b) Section 304', 'c) Section 303', 'd) Section 305']",B,b) Section 304.,"According to Section 304 of the Code of Criminal Procedure (CrPC) in India, an indigent person (one who has no sufficient means to engage a lawyer), has the right to get free legal aid."
59. Under Which one of the following provisions of Cr.P.C police officer is under an obligation to produce the person arrested before a magistrate within 24 hours of the arrest,"['a) Section 56', 'b)Section 57', 'c) Section 60', 'd) Section 70']",B,b) Section 57,"According to Section 57 of the Cr.P.C, a police officer is obliged to present a person arrested without warrant before a magistrate within 24 hours of the arrest."
60. Who may record confessional statement under section 164 of the Cr.P.C?,"['a) Police Officer', 'b) Judicial officer', 'c) Both A and B', 'd) Judicial Magistrate having Jurisdiction only.']",B,d) Judicial Magistrate having Jurisdiction only.,Only a Judicial Magistrate is empowered to record a confessional statement under Section 164 of the Cr.P.C. A police officer is not authorized to do so.
61. The provision relating Plea bargaining is not applicable in following offence.,"['a) Scio-economic offence', 'b) Offence against women', 'c) Both A and B', 'd) None of the above']",C,c) Both A and B,"Plea bargaining isn't applicable to socio-economic offenses and offenses against women under the Criminal Law Amendment Act, 2005."
62. When two or more persons agree to do an illegal act or an act which is not illegal by illegal means such an agreement is designated as:,"['a) Abetment by conspiracy', 'b) Abetment by Aid', 'c) Criminal conspiracy', 'd) Abetment']",C,c) Criminal conspiracy,"Section 120A of the IPC defines criminal conspiracy as when two or more individuals agree to do or cause to be done an illegal act, or an act which is not illegal by illegal means."
63. The provisions regarding sedition are given:,"['a) Under section 124 of the I.P.C', 'b) Under section 124-A of the I.P.C', 'c) Under section 121-A of the I.P.C', 'd) Under section 130 of the I.P.C']",B,b) Under section 124-A of the I.P.C,Sedition is defined in Section 124A of the Indian Penal Code.
"64. A suit may be dismissed under order IX i) Where the summons is not served upon the defendant in consequence of the plaintiffs failure to pay costs for service of summons (Rule 2) ii) where neither the plaintiff nor the defendant appears (Rule 3) iii) Where plaintiff, after summons returned unserved, fail for 7 days to apply for fresh summons (Rule 5) iv) Where on the date fixed for hearing in a suit only defendant appears and he does not admit the plaintiff's claim. (Rule 8)","['a) I, II and III.', 'b) I, III and IV.', 'c) I, III and IV.', ' d) All of the above.']",D,"c) I, III and IV.","According to Order IX of the Civil Procedure Code, 1908, a suit may be dismissed in the situations described in i, iii, and iv. Situation ii (where neither party appears) would result in the suit being dismissed, but it could also be restored upon an application made by either party."
65. The Ex-officio chairman of the council of state is?,"['a) The President', 'b) Speaker, Lok Sabha', 'c) Vice President', 'd) one of the above']",C,c) Vice President,The Vice President of India is the ex-officio chairman of the Council of States (Rajya Sabha).
66. Right to property in India is,"['a) Fundamental Right', 'b) Constitutional Right', 'c) Statutory Right', 'd) Legal Right']",B,b) Constitutional Right,"The right to property is a constitutional right in India, as it was moved from the list of fundamental rights by the 44th Amendment in 1978."
67. Which of the following writs means to produce the body of a person?,"['a) Certiorari', 'b) Quo warranto', 'c) Prohibition', 'd). Habeas Corpus']",D,d) Habeas Corpus,Habeas Corpus is a writ requiring a person under arrest to be brought before a judge or into court.
68. Delegated legislation was declared constitutional In?,"['a) Berubari case', 'b) Re Delhi laws act case', 'c) Keshwarnand bharti case', 'd) Maneka Gandhi case']",B,b) Re Delhi laws act case,The Delhi Laws Act case of 1951 is where delegated legislation was declared constitutional by the Supreme Court of India.
69. A Prospectus which does not include complete particulars of the quantum or price of the securities included therein in known as:,"['a) Shelf Prospectus', 'b) Memorandum', 'c) Red Herring Prospectus', 'd) issuing house']",C,c) Red Herring Prospectus,A Red Herring Prospectus is a preliminary prospectus filed by the company with Securities and Exchange Board of India (SEBI) that does not contain details of either price or number of shares being offered or the amount of issue.
"70. When there is no profit in one year or the profit of a company is not enough to pay the fixed dividend on preference shares, the arrears of dividend are to be carried forward and paid before a dividend is paid on the ordinary shares. This is called:","['a) Participating preference shares', 'b) cumulative preference shares', 'c) Non- cumulative preference shares', 'd) Non- Participating preference shares']",B,b) cumulative preference shares,Cumulative preference shares allow for the accumulation of dividend payments in case they are not paid in the year they are due.
71. 'Industrial dispute' means any dispute or difference between i) Employers and employers ii) Employers and workmen iii) Workmen and workmen iv) Master and worker,"['a) (i) and (ii)', 'b) (iv)', 'c) (i), (i),(ii) and (iv)', 'd) (i), (ii) and (iii)']",D,"d) (i), (ii) and (iii).","An ""industrial dispute,"" as per the Industrial Disputes Act, 1947, can occur between employers and employers, employers and workmen, or between workmen and workmen.There seems to be some information missing in this question. The options should probably contain more than just 'i)' and 'ii)'."
72. Who among the following cannot transfer an immovable property?,"['a) Hindu widow', 'b) Muslim widow', 'c) Natural guardian of a minor.', 'd) Karta or manager of joint Hindu family']",B,c) Natural guardian of a minor.,"A natural guardian of a minor lacks the capacity to transfer immovable property according to the Hindu Minority and Guardianship Act, 1956, without the permission of the court."
73. The doctrine of 'Lis pendens' was explained in the leading case of:,"['a) Bellamy Vs Sabine', 'b) Cooper Vs Cooper', 'c) Streatifised Vs Streafield', 'd) Tulk Vs Moxbay']",A,a) Bellamy Vs Sabine,The doctrine of 'Lis pendens' was first detailed in the case of Bellamy vs Sabine in 1857.
"74. X strike 'A'. 'A' is by this provocation excited to violent range.'y' a bystander intending to take advantage of 'A's rage and to cause him kill 'X', gives a revolver into 'A's hand for that purpose. 'A' kills 'X' with the revolver :","['a) A is liable for committing murder and Y is liable for abetting murder.', 'b) A is liable for committing culpable homicide and Y is not liable.', 'c) A is liable for committing culpable homicide and Y is liable for abetting culpable homicide not amounting to murder.', 'd) A is not liable and Y is liable for abetting murder.']",A,a) A is liable for committing murder and Y is liable for abetting murder.,"A, due to his violent rage, is responsible for the murder of X. Y, having provided A with the means (the revolver) with the intention of causing X's death, is guilty of abetting the murder."
75. Right to free Legal Aid was recognised as a fundamental right under act 21 of Indian Constitution in the Case of-,"['a) Hussaainara Khatoun Vs Home Secretary, State of Bihar, Air 1979 SC 1360', 'b) M.H Hoskot Vs State of Maharashtra, Air 1978SC 1548', 'c)Madhu Mehta Vs Union of India (1989) 4 SC 1548', 'd) Rudal Shah Vs State of Bihar (199 45 Sc 14']",A,"a) Hussaainara Khatoun Vs Home Secretary, State of Bihar, Air 1979 SC 1360","In the landmark case of Hussainara Khatoon vs State of Bihar, the Supreme Court of India recognized the right to free legal aid as a fundamental right under Article 21 of the Indian Constitution."
76. In Which Country was the concept of pu Originated,"['a) United Kingdom', 'b) United State of America', 'c) India', 'd) Australia']",B,b) United States of America.,"The question appears to be incomplete, but given the answer choices, it seems to be about the concept of public utilities (Pu), which was originated in the United States."
77. A question suggesting the answers which the person putting it wishes or expects to receive is called-,"['a) Indecent Questions', 'b) Leading Questions', 'c) Improper Questions', 'd) Proper Questions']",B,b) Leading Questions.,These are questions that suggest the desired answer within the question itself.
78. Option of puberty is a ground of divorce Under Hindu Marriage Act 1955 for-,"['a) only Husband', 'b) Only Wife', 'c) Both Husband and Wife', 'd) None of the Above']",B,b) Only Wife.,"Option of puberty is a provision under Muslim law, not the Hindu Marriage Act 1955. Under this provision, a girl who was married before the age of 15 has the option to repudiate the marriage upon attaining puberty, if the marriage has not been consummated."
79. Which section of the Hindu Marriage Act 1955 provides that a child from a void marriage would be legitimate?,"['a) Section 11', 'b) Section 13 (a)', 'c) Section 12', 'd) Section 16']",D,d) Section 16.,"Section 16 of the Hindu Marriage Act, 1955 legitimizes children born out of void and voidable marriages."
80. Which of the following appears to contribute to global cooling rather than global warming,"['a) Nitrous Oxide', 'b) Aerosols', 'c) Methane', 'd) CFC']",B,b) Aerosols.,Aerosols can have a cooling effect on the atmosphere because they can reflect sunlight back into space.
"81. A and B agree to fence with each other for amusement .This agreement implies the consent of each to suffer any harm which in the course of fencing, may be caused without foul play and if A, while playing fairly, hurts B. A commits no offence. The provision are given under:","['a) Section 87', 'b) Section 85', 'c) Section 86', 'd) Section 88']",A,a) Section 87.,Section 87 of the Indian Penal Code covers the act of consent to suffer harm. The section applies when two individuals agree to an act that might cause harm but is not intended to cause death or grievous harm.
82. The provision of the right of private defense are given:,"['a) Under section 96- 108 of the Indian penal code', 'b) Under section 94-106 of the Indian penal code', 'c) Under section 96- 106 of the Indian penal code', 'd) Under section 95-106 of the Indian penal code']",C,c) Under section 96- 106 of the Indian penal code.,These sections of the Indian Penal Code deal with the right of private defense of the body and property.
83. The parties which cannot be compelled to perform specific performances of contract are provided in which section of Specific Relief Act:,"['a) 27', 'b) 28', 'c) 29', 'd) 30']",B,b) 28.,Section 28 of the Specific Relief Act lists out the parties against whom contracts cannot be specifically enforced.
84. What kind of property is transferable?,"['a) Pension.', 'b) Public office.', 'c) Right to re-entry', 'd) Any kind of property if not prohibited by law.']",D,d) Any kind of property if not prohibited by law.,"Under the Transfer of Property Act, all types of properties can be transferred unless the transfer is prohibited by any law."
